commentId,commentText,publishedAt
UgzeG84SF9OARHjusrh4AaABAg,"Surely it is a great diplomatic win but why are you people exaggerating it so much that India helped Qatar so much that it wouldn't even survived without the help of India in its dire situation that they wouldn't have survived, sorry to say this but it wasn't India that helped Qatar but Turkey and Iran, the trade between Qatar and Turkey & Iran sky rocketed during the trouble between the gulf states, it was mostly Turkey and Iran that sent most of Qatar's need, Turkey even sent it's army to protect Qatar from a possible invasion by Saudis.
My source DW and France24 and other Western outlets.",2024-02-16T16:30:24Z
Ugw2xu7KNwOK1bkY2f14AaABAg,"Qatar supports the occupied & oppressed prople while India is with Israel, the occupier & oppressor.",2024-02-16T13:56:36Z
UgyOf1J22dvlzIp7EAh4AaABAg,"Recently Congress has become defeated in south-north issue, now they are trying to rise Khalistan issue by the so called farmers protest.
Be careful,every true indian❗❗❗
And, dear AAP and ""Pappu"" supporters, pay double taxes before supporting pension for farmers. No political leader will provide it, it will be collected from your pocket.
If farmers who do not have to pay taxes want pension for working their own field then! shouldn't students get pension??
Our country need not any development only pension and free everything.In civilized countries like Japan people follow the rules given by the govt.Protesting is not their habit.They always try to solve any problem by wisdom,by talk,by scientific solution in everywhere.They are developed because they are civilized.Shame on these people who even can sell their own country.",2024-02-16T13:13:45Z
UgzLnTdCOsa0fXp_P614AaABAg,If it comes to national interests we need to deny all their bad pasts and rejoice with their  present. As India is an energy hungry country and needs more and more energy to support the economy and development projects,2024-02-16T12:07:56Z
Ugz8Ph5PJWtZ5eO_z5p4AaABAg,Why is Modi’s hugging so exaggerated 😮?,2024-02-16T11:57:28Z
Ugwl3uyyMqhRgUFkRk94AaABAg,Was it really Sharukh Khan who helped them get back to the country? And still he isnt taken credit. Otherwise Akshay kumar is everywhere -chatugiri!,2024-02-16T10:11:33Z
UgwtDlSUkzs9ZiwL-7J4AaABAg,We have money 💰💰 today ...... Everyone wants to be friends with India today 3:40,2024-02-16T09:17:06Z
Ugw86oWy_-ljaolwUDZ4AaABAg,Who is bad boy? India is becoming most intolerable country in the world 😢,2024-02-16T09:16:53Z
Ugy9dejtchfc3CmtUSx4AaABAg,Qatar is good guy u don't free Indian Muslims in jail although they are innocent you run bulldozers on their houses u are horrific boys how can any Muslim be good to you and modi,2024-02-16T09:11:49Z
Ugwqv5lCFFJU1Ozwhe14AaABAg,Gundu boy meets Arabs bad boy 🤣,2024-02-16T08:54:27Z
UgzqsDGlHM6wblJW2Ch4AaABAg,Ho help Qatar India 😅,2024-02-16T08:54:15Z
UgxMmVBNTmVOAqDK14R4AaABAg,Emir Sh Tamim is iconic person so the people of Qatar n India .Our history India n Qatar  reveal with strong bond n I support Qatar/India as I spend 60 years of my life  in Qatar n Qatar hospitality is superb and my childhood I used to go with Qatari friends I got beating from father for coming late. I m still looking  my Qatari Father opp our house was staying n was a teacher we used to stay those days in mushireb. My dad passed away n it's difficult now.Anyway I pray for that family wherever they maybe.,2024-02-16T08:13:36Z
UgyLRTZvS65xBmav5-p4AaABAg,"they were called spies to get india to bow down ... why would 7 former indian officers, who are visible be spying, let aside for india and certainly not for israel ... this is a scam and we are back to boot-licking the terrorist backing arabs ... so don't call this a mean feat",2024-02-16T07:50:49Z
UgxOUbURmC4P9KyLkoN4AaABAg,Modi lost mostly friends or neighbouring countries b coz of his illogical foreign policies..& bhakts calling him global leader 😂 mostly arab countries became against india only b coz of bhkats father modi's unplanned foreign policy!! What Congress made relation with neighbouring countries exept paki!! Modi just make everyone turn againt india!!,2024-02-16T07:41:36Z
UgyssekuJkZAQf-WFO94AaABAg,Arab Bad Boy sitting with the Worst Hindu Boy who killed thousands in broad day light yet became the PM of a country!,2024-02-16T07:13:10Z
UgxeAulIdOnadDQLNBd4AaABAg,modi should stop funding armed forces on water_ india can not compete on water and will continue facing incarceration by us controlled oil countries like qatar_ defend land only,2024-02-16T06:55:21Z
UgxBDIjNsM0lgYzwFHt4AaABAg,"Not bad ass Like Afgans....They love us,one day Quatar will ❤❤❤",2024-02-16T06:52:04Z
UgznxmV3nJcuZFRErTh4AaABAg,"Qatar condemns ppl to death without evidence, then goes back and “pardons” them pretending that they did charity somehow. Qatar should stop persecution of Hindu and Indian ethnicity minorities.",2024-02-16T06:50:11Z
UgwJzaZDaplQWjdm8rV4AaABAg,Arab world is becoming more modern nowadays. They strictly follow shariat laws though .,2024-02-16T06:44:47Z
Ugw1kQH62OuPtwSTTqZ4AaABAg,"If u dont like the ties with qatar leave the country send all the indian to india thats it, why so much nagging  if u dont like the view of qatar doesn't mean to like u at all.",2024-02-16T06:44:02Z
UgzTMFT-O0DFATKBIIB4AaABAg,Countries give priority to economics . Why they put trade above other things.,2024-02-16T06:42:32Z
Ugw-fLb_i3AlUXplBMF4AaABAg,Muslim nation appeasing,2024-02-16T06:31:41Z
UgxwVwfHinbTSgtHCxd4AaABAg,Because he know to take care of bad boy though😅,2024-02-16T06:25:55Z
Ugzu2_8tupn6Z1rGL5J4AaABAg,He should also tell people what has happened on india china border🤡🤣🤣🤣🤣,2024-02-16T06:25:29Z
UgzzzBJxDAN3IEerEbZ4AaABAg,Before that he also thanks srk also😅,2024-02-16T06:08:33Z
Ugz9oHP00g7yTGAAfpt4AaABAg,Beware of Guptajee Kumar Terrorists Network.,2024-02-16T05:58:52Z
UgzbNvIdLnU7PkNKEuV4AaABAg,Go and catch their feet and talk big at home.,2024-02-16T05:56:27Z
UgzAbceZvlMwccf94al4AaABAg,Last few minutes are true and very bold statements,2024-02-16T05:48:02Z
Ugxi2h0pK9FK9K4vA914AaABAg,"Modi is the image of New India... a Strong Bharat ready to become a true Global Superpower! Jai Hind, Jai Bharat!",2024-02-16T05:47:36Z
UgyuSWemoCe2QI6dBzZ4AaABAg,Not just social identity but perhaps sexual identity,2024-02-23T22:16:32Z
UgyMWt21j_g8XeOKVNF4AaABAg,"28% rich and opulent Marathas got reservation in Jobs and Education. BJP and SS did that. I don't understand why we Brahmins of this generation are cursed. Past is past. No-one has the guts to put in writing that such things have happened. We are just 3.2% . Who never took any grant. Still, we Brahmins are progressive",2024-02-23T17:08:57Z
UgwfcIiwkzSs1qxUc9B4AaABAg,This anchor hosts the best comedy show ...,2024-02-23T16:34:28Z
Ugw1Q9DRPyRSwk9YEQd4AaABAg,Look at his eyes. The eyes of a mad man.,2024-02-23T15:19:26Z
UgwdJA-1QCLj1hk_c9B4AaABAg,Rahul Kanwal  is most cunning  BJP bucket channel  andhbhakth anchor,2024-02-23T13:38:04Z
UgxJgogmKDL59sKcKjV4AaABAg,Like Rahul leader here Supriya and jha,2024-02-23T11:04:04Z
Ugz4aveV43UXzgXvuf14AaABAg,"Biscuit channels should have debate on diesel petrol prices,gas cylinder price, uncontrolled food grains prices,,,youths are struggling to get jobs after post graduation degree,,,but hate speekers are flourishing,,this is the condition of new India,,,god only save poor Hindus from the party which is enjoying power on hindutva agenda",2024-02-23T10:45:30Z
UgyceVTqOc_YqBJwUFx4AaABAg,Biscuit channels are intelligently trying to controversize the RG yatra because Godimedia is more disturbed than BJP,2024-02-23T10:40:12Z
UgywiDod-bBjSZVBl554AaABAg,"This man has to be taken for health check up as he does not know what he is talking. Aishwarya Rai, Bachchan family etc., are his blunders and still the I.N.D.I alliance and congress are silent. He is going to further spoil the name of India in Cambridge.",2024-02-23T10:33:32Z
